   Simtime [s] 	   Realtime [s]	 Percentage [%]
          0.806	       281.8188	             16
          0.807	       282.0295	             16
          0.808	       282.0964	             16
          0.809	        282.312	             16
           0.81	       282.3842	             16
          0.811	        282.816	             16
          0.812	       282.8563	             16
          0.813	       283.0665	             16
          0.814	       283.1073	             16
          0.815	       283.3588	             16
          0.816	       283.4394	             16
          0.817	       283.6506	             16
          0.818	       283.7168	             16
          0.819	       283.9268	             16
           0.82	       283.9989	             16
          0.821	        284.436	             16
          0.822	       284.4657	             16
          0.823	       284.6717	             16
          0.824	       284.7028	             16
          0.825	       284.9579	             17
          0.826	       285.0395	             17
          0.827	       285.2509	             17
          0.828	        285.318	             17
          0.829	       285.5236	             17
           0.83	       285.6071	             17
          0.831	       286.0422	             17
          0.832	       286.0718	             17
          0.833	       286.2863	             17
          0.834	       286.3253	             17
          0.835	       286.5895	             17
          0.836	        286.667	             17
          0.837	       286.8758	             17
          0.838	       286.9428	             17
          0.839	       287.1663	             17
           0.84	       287.2383	             17
          0.841	       287.6861	             17
          0.842	       287.7162	             17
          0.843	       287.9262	             17
          0.844	        287.955	             17
          0.845	       288.2069	             17
          0.846	       288.2851	             17
          0.847	        288.499	             17
          0.848	       288.5696	             17
          0.849	       288.7797	             17
           0.85	       288.8527	             17
          0.851	       289.2891	             17
          0.852	       289.3287	             17
          0.853	       289.5373	             17
          0.854	       289.5647	             17
          0.855	       289.8197	             17
          0.856	       289.9083	             17
          0.857	       290.1189	             17
          0.858	       290.1851	             17
          0.859	       290.3983	             17
           0.86	        290.483	             17
          0.861	       290.9127	             17
          0.862	       290.9637	             17
          0.863	       291.1788	             17
          0.864	       291.2072	             17
          0.865	       291.4586	             17
          0.866	       291.5406	             17
          0.867	       291.7539	             17
          0.868	       291.8208	             17
          0.869	       292.0331	             17
           0.87	       292.1226	             17
          0.871	       292.5641	             17
          0.872	       292.6143	             17
          0.873	       292.8247	             17
          0.874	       292.8632	             17
          0.875	         293.13	             18
          0.876	       293.2115	             18
          0.877	       293.4214	             18
          0.878	       293.4863	             18
          0.879	       293.6974	             18
           0.88	        293.789	             18
          0.881	       294.2439	             18
          0.882	       294.2737	             18
          0.883	       294.4881	             18
          0.884	       294.5274	             18
          0.885	       294.7772	             18
          0.886	       294.8534	             18
          0.887	       295.0661	             18
          0.888	       295.1501	             18
          0.889	       295.3631	             18
           0.89	       295.4311	             18
          0.891	       295.8642	             18
          0.892	       295.9067	             18
          0.893	       296.1217	             18
          0.894	       296.1497	             18
          0.895	        296.404	             18
          0.896	       296.4961	             18
          0.897	       296.7065	             18
          0.898	       296.7732	             18
          0.899	       296.9869	             18
            0.9	       297.0735	             18
          0.901	       297.4539	             18
          0.902	       297.5555	             18
          0.903	       297.7646	             18
          0.904	        297.796	             18
          0.905	       298.0483	             18
          0.906	       298.1284	             18
          0.907	       298.3414	             18
          0.908	       298.4089	             18
          0.909	       298.6191	             18
           0.91	       298.6927	             18
          0.911	       299.0317	             18
          0.912	       299.1603	             18
          0.913	       299.3687	             18
          0.914	       299.3974	             18
          0.915	        299.664	             18
          0.916	       299.7546	             18
          0.917	       299.9772	             18
          0.918	       300.0456	             18
          0.919	       300.2608	             18
           0.92	       300.3343	             18
          0.921	       300.5733	             18
          0.922	       300.8183	             18
          0.923	       301.0319	             18
          0.924	       301.0605	             18
          0.925	       301.3142	             19
          0.926	       301.3694	             19
          0.927	        301.616	             19
          0.928	       301.6836	             19
          0.929	        301.895	             19
